from_port_name,from_port_uuid,from_port_unlocode,from_port_lon,from_port_lat,to_port_name,to_port_uuid,to_port_unlocode,to_port_lon,to_port_lat,route_index,lat,lon,total_dist_nm
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,5,54.9603,5.2407,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,6,54.9609,5.239,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,7,55.3049,4.2627,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,8,55.4414,3.8752,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,9,55.7068,3.1218,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,10,55.8457,2.7276,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,11,56.3304,1.352,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,12,57.3,-1.4,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,13,57.664,-1.746,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,14,58.6042,-2.9081,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,15,58.6044,-2.9083,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,16,58.6045,-2.9088,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,17,58.7,-3.3333,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,18,58.7,-4.7995,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,19,58.7,-5.2,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,20,58.6762,-5.7205,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,21,58.6761,-5.7229,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,22,58.6761,-5.7232,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,23,58.6411,-6.4895,6675.9321
